item,itemLabel,image,article,utgivelsesdato
"http://www.wikidata.org/entity/Q5316991","Dust Racing 2D","http://commons.wikimedia.org/wiki/Special:FilePath/DustRacing-Intro.png","https://en.wikipedia.org/wiki/Dust_Racing_2D","2012-06-01T00:00:00Z"
"http://www.wikidata.org/entity/Q1542333","Oolite","http://commons.wikimedia.org/wiki/Special:FilePath/OOlite%20Mac%20OS%20X%20screenshot.jpg","https://en.wikipedia.org/wiki/Oolite_(video_game)","2012-05-27T00:00:00Z"
"http://www.wikidata.org/entity/Q3141916","The Typing of the Dead","http://commons.wikimedia.org/wiki/Special:FilePath/Typingofthedead.jpg","https://en.wikipedia.org/wiki/The_Typing_of_the_Dead","2012-05-10T00:00:00Z"
"http://www.wikidata.org/entity/Q15244203","Wordament","http://commons.wikimedia.org/wiki/Special:FilePath/Wordament%20Board.png","https://en.wikipedia.org/wiki/Microsoft_Ultimate_Word_Games","2012-04-24T00:00:00Z"
"http://www.wikidata.org/entity/Q745374","Botanicula","http://commons.wikimedia.org/wiki/Special:FilePath/Jarom%C3%ADr%20Plach%C3%BD%20%26%20Jakub%20Dvorsk%C3%BD%20%281%29.jpg","https://en.wikipedia.org/wiki/Botanicula","2012-04-19T00:00:00Z"
"http://www.wikidata.org/entity/Q2581523","Fez","http://commons.wikimedia.org/wiki/Special:FilePath/Fez%20%28video%20game%29%20cover%20art.png","https://nn.wikipedia.org/wiki/Dataspelet_Fez","2012-04-13T00:00:00Z"
"http://www.wikidata.org/entity/Q8768018","Candy Crush Saga","http://commons.wikimedia.org/wiki/Special:FilePath/Woman%20playing%20Candy%20Crush%20Saga%20on%20iPad.jpg","https://nn.wikipedia.org/wiki/Candy_Crush_Saga","2012-04-12T00:00:00Z"
"http://www.wikidata.org/entity/Q1812427","Legend of Grimrock","http://commons.wikimedia.org/wiki/Special:FilePath/Legend%20of%20Grimrock%20DVD%20cover.jpg","https://en.wikipedia.org/wiki/Legend_of_Grimrock","2012-04-11T00:00:00Z"
"http://www.wikidata.org/entity/Q2997189","The Splatters","http://commons.wikimedia.org/wiki/Special:FilePath/The%20Splatters%2003.jpg","https://en.wikipedia.org/wiki/The_Splatters","2012-04-11T00:00:00Z"
"http://www.wikidata.org/entity/Q1566165","Closure","http://commons.wikimedia.org/wiki/Special:FilePath/Le%20monde%20du%20carnaval.png","https://en.wikipedia.org/wiki/Closure_(video_game)","2012-03-27T00:00:00Z"
