item,itemLabel,image,article,kjemisk_symbol
"http://www.wikidata.org/entity/Q569","beryllium","http://commons.wikimedia.org/wiki/Special:FilePath/Beryllium%20nuggets%202.jpg","https://nn.wikipedia.org/wiki/Beryllium","Be"
"http://www.wikidata.org/entity/Q1112","barium","http://commons.wikimedia.org/wiki/Special:FilePath/Barium%201.jpg","https://nn.wikipedia.org/wiki/Barium","Ba"
"http://www.wikidata.org/entity/Q618","bor","http://commons.wikimedia.org/wiki/Special:FilePath/Boron.jpg","https://nn.wikipedia.org/wiki/Grunnstoffet_bor","B"
"http://www.wikidata.org/entity/Q897","gull","http://commons.wikimedia.org/wiki/Special:FilePath/Gold-crystals.jpg","https://nn.wikipedia.org/wiki/Gull","Au"
"http://www.wikidata.org/entity/Q999","astat","http://commons.wikimedia.org/wiki/Special:FilePath/Glow%20from%20a%20sample%20of%20astatine%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/Astat","At"
"http://www.wikidata.org/entity/Q871","arsen","http://commons.wikimedia.org/wiki/Special:FilePath/Arsen%201.jpg","https://nn.wikipedia.org/wiki/Arsen","As"
"http://www.wikidata.org/entity/Q696","argon","http://commons.wikimedia.org/wiki/Special:FilePath/ArTube.jpg","https://nn.wikipedia.org/wiki/Argon","Ar"
"http://www.wikidata.org/entity/Q1872","americium","http://commons.wikimedia.org/wiki/Special:FilePath/Americium%20microscope.jpg","https://nn.wikipedia.org/wiki/Americium","Am"
"http://www.wikidata.org/entity/Q663","aluminium","http://commons.wikimedia.org/wiki/Special:FilePath/Aluminium-4.jpg","https://nn.wikipedia.org/wiki/Aluminium","Al"
"http://www.wikidata.org/entity/Q1090","sølv","http://commons.wikimedia.org/wiki/Special:FilePath/Silver%20crystal.jpg","https://nn.wikipedia.org/wiki/S%C3%B8lv","Ag"
"http://www.wikidata.org/entity/Q1121","actinium","http://commons.wikimedia.org/wiki/Special:FilePath/Actinium%20sample%20%2831481701837%29.png","https://nn.wikipedia.org/wiki/Actinium","Ac"
