item,itemLabel,image,article,opphav,imageAuthor,imageLicense,imageLicenseUrl
"http://www.wikidata.org/entity/Q379173","Sjøorm","http://commons.wikimedia.org/wiki/Special:FilePath/Sea%20serpent.jpg","https://nn.wikipedia.org/wiki/Sj%C3%B8orm","Norsk folketru","","Public domain",""
"http://www.wikidata.org/entity/Q208010","Sleipne","http://commons.wikimedia.org/wiki/Special:FilePath/Ardre%20Odin%20Sleipnir.jpg","https://nn.wikipedia.org/wiki/Sleipne","Norrøn mytologi","ukjend","Public domain",""
"http://www.wikidata.org/entity/Q211700","Surt","http://commons.wikimedia.org/wiki/Special:FilePath/Surtur%20mit%20dem%20Flammenschwerte.jpg","https://nn.wikipedia.org/wiki/Surt","Norrøn mytologi","Friedrich Wilhelm Engelhard (1813-1902)","Public domain",""
"http://www.wikidata.org/entity/Q1125073","Svadilfare","http://commons.wikimedia.org/wiki/Special:FilePath/Loki%20and%20Svadilfari%20by%20Hardy.jpg","https://nn.wikipedia.org/wiki/Svadilfare","Norrøn mytologi","Dorothy Hardy (fl. 1891 - 1925)","Public domain",""
"http://www.wikidata.org/entity/Q1047946","Tanngnjost og Tanngrisne","http://commons.wikimedia.org/wiki/Special:FilePath/Thor%20%281832%29%20from%20Die%20Helden%20und%20G%C3%B6tter%20des%20Nordens%2C%20oder%20Das%20Buch%20der%20sagen.jpg","https://nn.wikipedia.org/wiki/Tanngnjost_og_Tanngrisne","Norrøn mytologi","Amalia Schoppe.","Public domain",""
"http://www.wikidata.org/entity/Q12581","Troll","http://commons.wikimedia.org/wiki/Special:FilePath/John%20Bauer%201915.jpg","https://nn.wikipedia.org/wiki/Troll","Norsk folketru","John Bauer","Public domain",""
"http://www.wikidata.org/entity/Q131087","Valkyrjer","http://commons.wikimedia.org/wiki/Special:FilePath/Valkyrie%20%28Peter%20Nicolai%20Arbo%29%20-%20Nationalmuseum%20-%2018255.tif","https://nn.wikipedia.org/wiki/Valkyrjer","Norrøn mytologi","Peter Nicolai Arbo","Public domain",""
"http://www.wikidata.org/entity/Q9410","Varulv","http://commons.wikimedia.org/wiki/Special:FilePath/WeirdTalesv36n2pg038%20The%20Werewolf%20Howls.png","https://nn.wikipedia.org/wiki/Varulv","Norsk folketru","Mont Sudbury","Public domain",""
"http://www.wikidata.org/entity/Q1805119","Vette","http://commons.wikimedia.org/wiki/Special:FilePath/Die%20Gartenlaube%20%281893%29%20b%20200%202.jpg","https://nn.wikipedia.org/wiki/Vette","Norsk folketru","ukjend","Public domain",""
"http://www.wikidata.org/entity/Q214081","Yme","http://commons.wikimedia.org/wiki/Special:FilePath/Ymir.jpg","https://nn.wikipedia.org/wiki/Yme","Norrøn mytologi","Gemalde: Nicolai Abraham Abildgaard (1743-1809)","Public domain",""
