"aircraft","aircraftLabel","passengers","image","article"
"http://www.wikidata.org/entity/Q3400036","Potez X","","http://commons.wikimedia.org/wiki/Special:FilePath/Potez%2010.jpg",""
"http://www.wikidata.org/entity/Q3077154","Potez XI","","http://commons.wikimedia.org/wiki/Special:FilePath/Potez%2011.jpg",""
"http://www.wikidata.org/entity/Q3178649","PTO-4","","http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A1%D0%B0%D0%BC%D0%BE%D0%BB%D1%91%D1%82%20%D0%A0%D0%A2%D0%9E-4%D0%90%20%D0%BD%D0%B0%20%D0%BB%D1%91%D1%82%D0%BD%D0%BE%D0%BC%20%D0%BF%D0%BE%D0%BB%D0%B5.jpg",""
"http://www.wikidata.org/entity/Q383903","PWS-10","","http://commons.wikimedia.org/wiki/Special:FilePath/Narodowe%20Archiwum%20Cyfrowe%20PWS-10.png",""
"http://www.wikidata.org/entity/Q1227577","PWS-24","","http://commons.wikimedia.org/wiki/Special:FilePath/Pws-24.jpg",""
"http://www.wikidata.org/entity/Q2121007","Pützer Elster","","http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%BCtzer%20Elster%20B%20%28Luftwaffe%29%20at%20Pferdsfeld%201972%20%281%29.jpg",""
"http://www.wikidata.org/entity/Q188414","PZL Bielsko SZD-9","","http://commons.wikimedia.org/wiki/Special:FilePath/Szybowiec%20SZD-9%20Bocian%20SP-2801%20Areoklubu%20Opolskiego%20w%20trakcie%20lotu%20%C5%BCaglowego.JPG",""
"http://www.wikidata.org/entity/Q897846","PZL TS-8 Bies","","http://commons.wikimedia.org/wiki/Special:FilePath/TS-8%20Bies%20Cracow.jpg",""
"http://www.wikidata.org/entity/Q1121704","Q1121704","","http://commons.wikimedia.org/wiki/Special:FilePath/IAI%20Finger%202010.jpg",""
"http://www.wikidata.org/entity/Q3414478","Quikkit Glass Goose","","http://commons.wikimedia.org/wiki/Special:FilePath/Aero%20Gare%20Seahawk.jpg",""
"http://www.wikidata.org/entity/Q2750091","R.31","","http://commons.wikimedia.org/wiki/Special:FilePath/Renard%20R.31%20photo%20Le%20Pontential%20A%C3%A9rien%20Mondial%201936.jpg",""
"http://www.wikidata.org/entity/Q3419750","Rare Bear","","http://commons.wikimedia.org/wiki/Special:FilePath/77%20F8F-2%20Bearcat%20%28N-777L%29%20Rare%20Bear%202014%20Reno%20Air%20Races%20Gold%20Final%20by%20D%20Ramey%20Logan.jpg",""
"http://www.wikidata.org/entity/Q1726173","RBVZ S-10","","http://commons.wikimedia.org/wiki/Special:FilePath/Sikorsky%20S-10%20Aircraft%20on%20floats%20circa%201913.jpg",""
"http://www.wikidata.org/entity/Q2717498","Red Wing","","http://commons.wikimedia.org/wiki/Special:FilePath/AEA%20Red%20Wing%20%28Aerodrome%201%29.jpg",""
"http://www.wikidata.org/entity/Q381152","RediGO","","http://commons.wikimedia.org/wiki/Special:FilePath/Redigo%2001.jpg",""
"http://www.wikidata.org/entity/Q2143100","Remos GX","","http://commons.wikimedia.org/wiki/Special:FilePath/REMOS%20G-3%20Mirage.jpg",""
"http://www.wikidata.org/entity/Q1807615","Republic XF-103","","http://commons.wikimedia.org/wiki/Special:FilePath/Republic%20XF-103%20in%20flight.jpg",""
"http://www.wikidata.org/entity/Q1216341","Rotter Nemere","","http://commons.wikimedia.org/wiki/Special:FilePath/Rotter%20Lajos-Nemere.jpg",""
"http://www.wikidata.org/entity/Q2919176","Royal Aircraft Factory B.E.12","","http://commons.wikimedia.org/wiki/Special:FilePath/Royal%20Aircraft%20Factory%20BE12%201.jpg",""
"http://www.wikidata.org/entity/Q914230","Raab Doppelraab","","http://commons.wikimedia.org/wiki/Special:FilePath/Doppelraab%20IV.jpg",""
"http://www.wikidata.org/entity/Q2031907","SAGEM Crecerelle","","http://commons.wikimedia.org/wiki/Special:FilePath/BAM-63-Sagem%20Crecerelle.jpg",""
"http://www.wikidata.org/entity/Q1929058","Saunders-Roe SR.45 Princess","","http://commons.wikimedia.org/wiki/Special:FilePath/Saro%20Princess%20G-ALUN%20Farnborough%201953.jpg",""
"http://www.wikidata.org/entity/Q2228187","Savoia-Marchetti S.M.87","","http://commons.wikimedia.org/wiki/Special:FilePath/SAvoia%20Marchetti%20SM.87%20in%20volo.jpg",""
"http://www.wikidata.org/entity/Q1544318","Savoia-Marchetti SM.73","","http://commons.wikimedia.org/wiki/Special:FilePath/Savoia%20Marchetti%20S.73.jpg",""
"http://www.wikidata.org/entity/Q841885","Savoia-Marchetti SM.83","","http://commons.wikimedia.org/wiki/Special:FilePath/Savoia%20Marchetti%20SM.83%20I-AMER.jpg",""
"http://www.wikidata.org/entity/Q372295","Scheibe Falke","","http://commons.wikimedia.org/wiki/Special:FilePath/Scheibe%20SF%2025%20B%20D-KAGR%2003.jpg",""
"http://www.wikidata.org/entity/Q2232491","Scheibe SF 34","","http://commons.wikimedia.org/wiki/Special:FilePath/Scheibe%20A34%20%27Alliance%27.jpg",""
"http://www.wikidata.org/entity/Q2233258","Schempp-Hirth Nimbus","","http://commons.wikimedia.org/wiki/Special:FilePath/PH-1330%2C%20Schempp-Hirth%20Nimbus-2M%20at%20Hilversum%20Airport%20%28ICAO%20EHHV%29.JPG",""
"http://www.wikidata.org/entity/Q3475325","Schempp-Hirth Nimbus-2","","http://commons.wikimedia.org/wiki/Special:FilePath/OY-XMT%20Schempp-Hirth%20HS-5%20Nimbus%20II.jpg",""
"http://www.wikidata.org/entity/Q2233249","Schempp-Hirth Quintus","","http://commons.wikimedia.org/wiki/Special:FilePath/Schempp-Hirth%20Quintus.jpg",""
"http://www.wikidata.org/entity/Q938444","Schempp-Hirth Standard Cirrus","","http://commons.wikimedia.org/wiki/Special:FilePath/Standard%20Cirrus%20D-3085.jpg",""
"http://www.wikidata.org/entity/Q3039207","SG-1262 Schwebegestell","","http://commons.wikimedia.org/wiki/Special:FilePath/Expirimental%20VTOL%20APV%20in%20the%20Wehrtechnische%20Studiensammlung%20Koblenz.jpg",""
"http://www.wikidata.org/entity/Q3482514","Short Bomber","","http://commons.wikimedia.org/wiki/Special:FilePath/IWM-Q67967-Short-Bomber.jpg",""
"http://www.wikidata.org/entity/Q2279965","Short SC.1","","http://commons.wikimedia.org/wiki/Special:FilePath/Short%20SC.1%20Farnborough%201958.jpg",""
"http://www.wikidata.org/entity/Q2453808","Sikorsky Cypher","","http://commons.wikimedia.org/wiki/Special:FilePath/Cypher-UAV.JPG",""
"http://www.wikidata.org/entity/Q1432561","Sikorsky S-69","","http://commons.wikimedia.org/wiki/Special:FilePath/XH-59A%20helicopter%20in%201981%20%283%29.JPEG",""
"http://www.wikidata.org/entity/Q1166134","SmartBird","","http://commons.wikimedia.org/wiki/Special:FilePath/SmartBird-08.jpg",""
"http://www.wikidata.org/entity/Q3459797","SNCAC NC-600","","http://commons.wikimedia.org/wiki/Special:FilePath/Hanriot%20H.220.jpg",""
"http://www.wikidata.org/entity/Q2108244","SNCASE Durandal","","http://commons.wikimedia.org/wiki/Special:FilePath/Sud%20SE-212%20Durandal%20Le%20Bourget%201957.jpg",""
"http://www.wikidata.org/entity/Q573633","SNCASE SE.100","","http://commons.wikimedia.org/wiki/Special:FilePath/SE.100.brouillon.png",""
"http://www.wikidata.org/entity/Q1779127","SOCATA TBM","","http://commons.wikimedia.org/wiki/Special:FilePath/Daher-Socata%20TBM%20900%20Air%20to%20Air.jpg",""
"http://www.wikidata.org/entity/Q3509981","Sopwith Salamander","","http://commons.wikimedia.org/wiki/Special:FilePath/Sopwith%20Salamander%20prototype.jpg",""
"http://www.wikidata.org/entity/Q3492741","Spartan Executive","","http://commons.wikimedia.org/wiki/Special:FilePath/Spartan%20Executive%20Old%20Warden%207%20Oct%202013%201.jpg",""
