"painting","paintingLabel","artist","artistLabel","year","image","article","artistArticle"
"http://www.wikidata.org/entity/Q55422122","From Capri","http://www.wikidata.org/entity/Q1969461","Thomas Fearnley","1833-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/From%20Capri%20-%20Fra%20Capri%20-%20Thomas%20Fearnley%20-%20IMG%209801-%20national%20gallery%20oslo%20%28cropped-2%29.jpg","","https://no.wikipedia.org/wiki/Thomas_Fearnley"
"http://www.wikidata.org/entity/Q56701959","From Ischia","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1820-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20View%20from%20Ischia%20towards%20Miseno%20-%20Fra%20Ischia%20-%20KODE%20Art%20Museums%20and%20Composer%20Homes%20-%20RMS.M.00058.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q55412388","From Kaupanger in Sogn","http://www.wikidata.org/entity/Q1508306","Knud Baade","1833-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Knud%20Baade%20-%20From%20Kaupanger%20in%20Sogn%20-%20NG.M.02650%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Knud_Baade"
"http://www.wikidata.org/entity/Q55423409","From Königssee","http://www.wikidata.org/entity/Q1969461","Thomas Fearnley","1831-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Fearnley%20-%20From%20K%C3%B6nigssee%20-%20NG.M.00896%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Thomas_Fearnley"
"http://www.wikidata.org/entity/Q56676234","From Møllendal","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1812-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Bergen%20seen%20from%20M%C3%B8llendal%20-%20Fra%20M%C3%B8llendal%20-%20KODE%20Art%20Museums%20and%20Composer%20Homes%20-%20BB.M.00382.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q55422233","From Oberhasli in Switzerland","http://www.wikidata.org/entity/Q1969461","Thomas Fearnley","1835-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Fearnley%20-%20From%20Oberhasli%20in%20Switzerland%20-%20NG.M.00426-043%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Thomas_Fearnley"
"http://www.wikidata.org/entity/Q118358924","From Procida and Ischia with Mount Epomeo","http://www.wikidata.org/entity/Q1969461","Thomas Fearnley","1833-08-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Fearnley%20-%20Fra%20Procida%20og%20Ischia%20med%20fjellet%20Epomeo%20%281833%29.jpg","","https://no.wikipedia.org/wiki/Thomas_Fearnley"
"http://www.wikidata.org/entity/Q55410328","From Savoy","http://www.wikidata.org/entity/Q3434119","Johan Gørbitz","1833-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20G%C3%B8rbitz%20-%20From%20Savoy%20-%20NG.M.04301%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Johan_G%C3%B8rbitz"
"http://www.wikidata.org/entity/Q55412434","From Sogn","http://www.wikidata.org/entity/Q1508306","Knud Baade","1833-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Knud%20Baade%20-%20From%20Sogn%20-%20NG.M.02645%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Knud_Baade"
"http://www.wikidata.org/entity/Q55422260","From Sorrento","http://www.wikidata.org/entity/Q1969461","Thomas Fearnley","1833-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Fearnley%20-%20From%20Sorrento%20-%20NG.M.01872%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Thomas_Fearnley"
